season,episode,name,description,rating,airdate,link
6,23,The Pajama War,A slumber party is being held in the Candy Kingdom and Finn and Princess Bubblegum are sent to 7 minutes in Heaven.,8.3,1420671600,http://www.imdb.com//title/tt4342784/?ref_=ttep_ep23
6,24,Evergreen,"Set in the Prehistoric Era, Evergreen and his aprentice Gunter have to stop a meteor heading towards Earth.",8.8,1421276400,http://www.imdb.com//title/tt4324630/?ref_=ttep_ep24
6,25,Astral Plane,"Finn and Jake go camping in the woods. When they go to sleep, Finn has an out-of-body experience and visits other creatures all around Ooo while he slowly ascends to space.",8.9,1421881200,http://www.imdb.com//title/tt4342792/?ref_=ttep_ep25
6,26,Gold Stars,"During his first day of school, Sweet Pea is approached by the King of OOO and his companion, Toronto, who lure him into dancing in public.",8.2,1422486000,http://www.imdb.com//title/tt4342794/?ref_=ttep_ep26
6,27,The Visitor,Finn's dream about following a comet to its crash site reunites him with an old friend.,8.0,1423090800,http://www.imdb.com//title/tt4386732/?ref_=ttep_ep27
6,28,The Mountain,"Feeling unfulfilled, both Lemongrab and Finn take an introspective journey into the Mountain of Matthew. Inside, they are faced with their desires, their fears and themselves, and must make a pivotal choice.",8.0,1423695600,http://www.imdb.com//title/tt4426996/?ref_=ttep_ep28
6,29,Dark Purple,"Its the day of the month everyone loves. Super Porp Day (grape soda in a can). Fin, Jake, BMO and Marcy are skating and waiting at the local Squeez-E-Mart for the vending machine to be ...
                    See full summary »",8.0,1424300400,http://www.imdb.com//title/tt4427000/?ref_=ttep_ep29
6,30,The Diary,"Jake's son T.V. discovers a mysterious diary in the dried-up moat of the Candy Kingdom, and becomes obsessed with finding out more about the writer known only as ""B.P.""",8.0,1424905200,http://www.imdb.com//title/tt4427006/?ref_=ttep_ep30
6,31,Walnuts & Rain,Finn & Jake stumble into two different holes and meet two different fates.,8.1,1425510000,http://www.imdb.com//title/tt4469728/?ref_=ttep_ep31
6,32,Friends Forever,The Ice King struggles with the consequences of making new friends.,7.3,1429135200,http://www.imdb.com//title/tt4485620/?ref_=ttep_ep32
6,33,Jermaine,Jake meets his brother Jermaine in a dream and decides to visit in the real world.,8.3,1429740000,http://www.imdb.com//title/tt4558248/?ref_=ttep_ep33
6,34,Chips & Ice Cream,BMO'S favorite artists find a new home in the treehouse.,7.0,1430344800,http://www.imdb.com//title/tt4613396/?ref_=ttep_ep34
6,35,Graybles 1000+,Cuber returns for the telling of another installment of the Graybles.,8.4,1430949600,http://www.imdb.com//title/tt4670012/?ref_=ttep_ep35
6,36,Hoots,A charismatic stranger in Finn's dream leads Cosmic Owl to shirk his duties.,8.4,1431554400,http://www.imdb.com//title/tt4655044/?ref_=ttep_ep36
6,37,Water Park Prank,Finn and Jake enjoy a day at the water park.,5.0,1432159200,http://www.imdb.com//title/tt4657994/?ref_=ttep_ep37
6,38,You Forgot Your Floaties,"Finn and Jake storm Magic Man's house to rescue his new apprentice who turns out to be Betty. Betty and Magic Man create a system that will make Magic Man the new King of Mars. He has a ...
                    See full summary »",8.5,1433109600,http://www.imdb.com//title/tt4722224/?ref_=ttep_ep38
6,39,Be Sweet,A fed up Lumpy Space Princess leaves the woods for a glamorous career in babysitting.,7.6,1433196000,http://www.imdb.com//title/tt4722222/?ref_=ttep_ep39
6,40,Orgalorg,Gunther experiences strange visions following a walrus race accident.,8.8,1433282400,http://www.imdb.com//title/tt4722220/?ref_=ttep_ep40
6,41,On the Lam,"Finn's father, Martin the Human, fights for freedom on a new planet.",7.6,1433368800,http://www.imdb.com//title/tt4736860/?ref_=ttep_ep41
6,42,Hot Diggity Doom,Princess Bubblegum's attention is diverted by a mysterious presence in the sky.,8.3,1433455200,http://www.imdb.com//title/tt4736890/?ref_=ttep_ep42
6,43,The Comet,"Finn, Jake, and Orgalorg converge with the comet and meet their destiny.",9.1,1433455200,http://www.imdb.com//title/tt4736892/?ref_=ttep_ep43
